new,discovered,symbol,exchange
true,2017-10-09 15:45:51.0,EXRP2,etherdelta
true,2017-10-09 15:45:51.0,ELTC2,etherdelta
true,2017-10-09 15:45:51.0,ELTC3,etherdelta
true,2017-10-09 16:30:03.0,VEN,hitbtc
true,2017-10-09 17:45:07.0,YESTER,etherdelta
true,2017-10-09 18:45:03.0,NUGD,etherdelta
true,2017-10-09 20:15:03.0,Cuong ,etherdelta
true,2017-10-09 20:45:04.0,Ethere,etherdelta
true,2017-10-09 21:30:04.0,eZEC,etherdelta
true,2017-10-09 21:30:04.0,NIMFA,etherdelta
true,2017-10-09 22:00:12.0,XPA,etherdelta
true,2017-10-09 23:15:02.0,XBTA,ccex
true,2017-10-10 02:30:21.0,PayPie,etherdelta
true,2017-10-10 02:30:21.0,GNTW,etherdelta
true,2017-10-10 03:30:26.0,Cash P,etherdelta
true,2017-10-10 05:00:35.0,MOL,etherdelta
true,2017-10-10 06:45:06.0,BetKin,etherdelta
true,2017-10-10 07:45:07.0,MVC,etherdelta
true,2017-10-10 08:00:33.0,BOPTOL,etherdelta
true,2017-10-10 09:16:38.0,EVX,etherdelta
true,2017-10-10 10:15:02.0,CCRB,mercatox
true,2017-10-10 10:30:03.0,EVX,mercatox
true,2017-10-10 10:30:09.0,TPT,etherdelta
true,2017-10-10 10:45:04.0,PayBit,etherdelta
true,2017-10-10 10:45:04.0,EXRP N,etherdelta
true,2017-10-10 11:00:12.0,IQT,etherdelta
true,2017-10-10 11:30:13.0,SggCoi,etherdelta
true,2017-10-10 15:45:02.0,VIBE,hitbtc
true,2017-10-10 15:45:02.0,VOISE,hitbtc
true,2017-10-10 16:15:03.0,PPP,etherdelta
true,2017-10-10 16:15:03.0,BKB,etherdelta
true,2017-10-10 16:15:03.0,EZEC2,etherdelta
true,2017-10-10 16:15:03.0,ELITE,etherdelta
true,2017-10-10 16:30:03.0,QVT,hitbtc
true,2017-10-10 17:45:09.0,Vezt,etherdelta
true,2017-10-10 18:30:08.0,PLY,etherdelta
true,2017-10-10 19:45:05.0,AIR,etherdelta
true,2017-10-10 20:15:06.0,MCD,etherdelta
